TradingDate,SecurityID,Value
2024.06.03,600026.SH,0.14264894601876904
2024.06.03,600035.SH,0.07055343073270058
2024.06.03,600044.SH,0.08637909645181412
2024.06.03,600022.SH,0.34569476699542384
2024.06.03,600045.SH,0.1050845539223161
2024.06.03,000016.SZ,0.41344066593536005
2024.06.03,000003.SZ,0.19426074106493957
2024.06.03,600003.SH,0.03537549780064734
2024.06.03,000005.SZ,0.11700066437732622
2024.06.03,000044.SZ,0.010797335528229444
2024.06.03,000001.SZ,0.0522786937897799
2024.06.03,600005.SH,0.02253676364189642
2024.06.03,600040.SH,0.02088109398091526
2024.06.03,000020.SZ,0.12248456048915564
2024.06.03,600015.SH,0.22143236880223297
2024.06.03,000006.SZ,0.17188366725203524
2024.06.03,000021.SZ,0.01226499518220821
2024.06.03,000004.SZ,0.04565102457010279
2024.06.03,000024.SZ,0.02753304354578304
2024.06.03,000029.SZ,0.14156423866992393
2024.06.03,000040.SZ,0.2015216638300462
2024.06.03,600008.SH,0.07547648469668969
2024.06.03,000015.SZ,0.1415976195790914
2024.06.03,600023.SH,0.05318192813979454
2024.06.03,600000.SH,0.026893823495102984
2024.06.03,000038.SZ,0.12040244775379544
2024.06.03,000050.SZ,0.03433752862292601
2024.06.03,000022.SZ,0.020363685484750458
2024.06.03,000017.SZ,0.08291342890573203
2024.06.03,000002.SZ,0.0716150694976293
2024.06.03,000023.SZ,0.03490864371690618
2024.06.03,000012.SZ,0.03959488967434457
2024.06.03,600047.SH,0.028897851913706533
2024.06.03,600006.SH,0.1679351870782371
2024.06.03,600042.SH,0.07233327338304173
2024.06.03,600048.SH,0.15986379205346118
2024.06.03,000043.SZ,0.044261793353377106
2024.06.03,000035.SZ,0.05287841565018438
2024.06.03,000027.SZ,0.1443700226764541
2024.06.03,600021.SH,0.03538244451782493
2024.06.03,600001.SH,0.12799118525393452
2024.06.03,600032.SH,0.19433399610771576
2024.06.03,000033.SZ,0.06637330979647282
2024.06.03,600019.SH,0.03622600678024117
2024.06.03,000010.SZ,0.5897344345086988
2024.06.03,600036.SH,0.057121807633575515
2024.06.03,000049.SZ,0.029525528096979163
2024.06.03,000034.SZ,0.11748984129751622
2024.06.03,000037.SZ,0.3716702271258584
2024.06.03,000011.SZ,0.2633409608359857
2024.06.03,600002.SH,0.02999591173115194
2024.06.03,600004.SH,0.13187205880703765
2024.06.03,600013.SH,0.06699520504143733
2024.06.03,000046.SZ,0.18943119421217713
2024.06.03,000039.SZ,0.014767203653604857
2024.06.03,000030.SZ,0.07747521522093477
2024.06.03,000009.SZ,0.004817023532446266
2024.06.03,600029.SH,0.1355194438203175
2024.06.03,000028.SZ,0.4868624968717456
2024.06.03,600033.SH,0.05563975470502752
2024.06.03,000031.SZ,0.2661279901679484
2024.06.03,600010.SH,0.005499997854494054
2024.06.03,000041.SZ,0.24745221502321954
2024.06.03,600043.SH,0.007450023546014968
2024.06.03,600018.SH,0.025828881942914713
2024.06.03,600007.SH,0.11856417864416023
2024.06.03,600049.SH,0.0009824210926595123
2024.06.03,600038.SH,0.05119948991958129
2024.06.03,000026.SZ,0.2021190363485844
2024.06.03,600030.SH,0.007739033379141779
2024.06.03,600011.SH,0.14109162146703527
2024.06.03,600024.SH,0.014259096987360722
2024.06.03,600028.SH,0.04747716108296925
2024.06.03,000008.SZ,0.03498477206071209
2024.06.03,600039.SH,0.0013083935437142847
2024.06.03,600016.SH,0.04860815523449501
2024.06.03,000018.SZ,0.22078676788843185
